X,Y,ObjectId,tid,stanoviste_ogc_fid,typ_odpad_separovany,komodita_odpad_separovany,objem,cyklus_vyvozu,majitel,vyvoz_1,vyvoz_2,vyvoz_3,vyvoz_4,vyvoz_5,vyvoz_6,vyvoz_7,vyvoz_1_zacatek,vyvoz_2_zacatek,vyvoz_3_zacatek,vyvoz_4_zacatek,vyvoz_5_zacatek,vyvoz_6_zacatek,vyvoz_7_zacatek,vyvoz_1_interval,vyvoz_2_interval,vyvoz_3_interval,vyvoz_4_interval,vyvoz_5_interval,vyvoz_6_interval,vyvoz_7_interval,nazev,ulice,cp,verejnost,datum_exportu,GlobalID
1849710.2959,6307481.8081,4426,23080,10120,,Papír,240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2020/01/30 00:00:00+00,,,,,,,7,,,,Křenová 3 - v domě,Křenová,55,N,2023/04/19 00:00:00+00,{3CF32D55-05EC-4F5F-A086-E757636F749D}
1847919.6551,6308372.6797,4427,16935,6329,,Papír,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2019/07/10 00:00:00+00,,,,,,,7,,,,,Údolní 21 - v domě,Údolní,503,N,2023/04/19 00:00:00+00,{AE64E786-0451-4503-9CBF-D53A4010C109}
1857743.923,6304110.3871,4428,23083,10122,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,1x týdně,SAKO,N,N,A,N,N,N,N,,,2020/02/05 00:00:00+00,,,,,,,7,,,,,Za kostelem 2,Za kostelem,1421,A,2023/04/19 00:00:00+00,{5C0E5353-77D7-4AD1-8A81-B37DD3CFB042}
1844711.0489,6307859.8949,4429,23088,6554,,Papír,1100,Na výzvu,SAKO,N,N,N,N,N,N,N,,,,,,,,,,,,,,,Hroznová 1 - TŘÍĎOUN,Hroznová,65,N,2023/04/19 00:00:00+00,{88B739A8-5568-44FB-BC51-3D68E72DD973}
1848406.2103,6307524.8692,4430,18249,5249,,Papír,240,1x týdně,SAKO,N,A,N,N,N,N,N,,2019/01/15 00:00:00+00,,,,,,,7,,,,,,Pekařská 3/5 - v domě,Pekařská,397,N,2023/04/19 00:00:00+00,{0E95B00F-2303-4D0A-8D7B-5E6AEC5B2744}
1850954.4582,6308500.787,4431,6693,3264,,Sklo barevné,240,1x týdně,SAKO,A,N,N,N,N,N,N,2019/08/19 00:00:00+00,,,,,,,7,,,,,,,Plynárenská 5,Tkalcovská,904,A,2023/04/19 00:00:00+00,{F88168E0-0353-4AA5-83DD-8784D395930C}
1846239.0202,6308687.1425,4432,19392,8597,,Papír,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2019/01/16 00:00:00+00,,,,,,,7,,,,,Heinrichova 30 - v domě,Heinrichova,215,N,2023/04/19 00:00:00+00,{FB017C17-8063-4717-AE57-64F1A64E34B5}
1847166.5342,6308846.5163,4433,16971,7074,,Papír,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2019/07/10 00:00:00+00,,,,,,,7,,,,,"Úvoz 84,86 - v domě",Úvoz,434,N,2023/04/19 00:00:00+00,{F4C64EF2-9330-4D97-9CE6-AE00DCE3AB62}
1845197.5151,6308637.1758,4434,4794,2609,,Sklo barevné,240,1x týdně,SAKO,A,N,N,N,N,N,N,2019/08/19 00:00:00+00,,,,,,,7,,,,,,,Bohuslava Martinů 39,Bohuslava Martinů,941,A,2023/04/19 00:00:00+00,{2278D109-4F32-4297-B0D8-6744107AEF25}
1847323.4947,6319386.4994,4435,22331,9941,,Papír,1100,Na výzvu,SAKO,N,N,N,N,N,N,N,,,,,,,,,,,,,,,Tumaňanova 59 - TŘÍĎOUN,Tumaňanova,191,N,2023/04/19 00:00:00+00,{1A6A9CFE-C084-4ACE-A6FE-2AA9F724C01D}
