tid,nazev,verejnost
23120,Chudčická x Přírodní,1
11665,Durďákova 68,1
12386,Bellova 8,1
22084,Říčanská x Křepelčí,1
12043,Pahrbek 19,1
12135,Říčanská 1,1
12136,Říčanská 1,1
17058,Gabriely Preissové 8,1
23015,Kvapilova 4,1
18977,Líšeňská 50-54,1
23253,Hradecká 12,1
12311,Viniční - Meluzínova,1
23255,Hradecká 18,1
19560,Schwaigrova 17,1
12654,Stamicova 11,1
11644,Čtvrtě 6,1
12492,Kamínky 20,1
23025,Nopova 20,1
23021,Vondrákova 60,1
12733,Vranovská 4,1
23026,Stamicova 5,1
23070,Lidická 63 - v domě,0
10300,Kamínky 35a,1
12324,Vondrákova 24,1
11810,Karáskovo nám. 17,1
20363,Kneslova 1,1
23033,Vondrákova 62,1
11824,Kluchova 32,1
12598,Petrůvky x Slévačská,1
12533,Lozíbky x Písečník,1
23060,Pod kaštany x Šumavská,1
15577,Lužná 3,1
11842,Koniklecová 2,1
23269,Valouškova 3,1
23271,Valouškova 7,1
23039,Košinova 93,1
12072,Petra Křivky  1a,1
13122,Oblá 6,1
16291,Oblá 50,1
12648,Slunečná 6,1
12388,Běly Pažoutové 30,1
12455,Chytilova x Řezáčova,1
12387,Bělohorská  95,1
22691,Stará osada 32,1
22623,"Oblá 39,41",1
11991,Nám. SNP 14,1
12344,Vychodilova 15,1
16073,Vychodilova 2-6,1
14278,Novodvorská 2,1
22562,Záhumní 10,1
20521,Foltýnova 23a,1
11932,Makovského nám. 2,1
21684,"Vrázova 53,55,57",1
18059,Schwaigrova 7,1
12364,Zemědělská x Lesnická,1
12014,Obilní 6,1
19417,Kluchova 1,1
12501,Koniklecová 4,1
13276,Dobrovského x Slovinská,1
12018,Oblá 53,1
12152,Sochorova 44,1
12636,Řezáčova 3,1
12082,Podlesí 17-19,1
19177,Dělnická 33,1
12665,Škroupova 1,1
11803,Kamenačky 28 - TŘÍĎOUN,0
12671,Štouračova 1,1
21806,Filipova 1,1
16033,Kubíčkova x Páteřní,1
16443,Laštůvkova 17,1
17143,Markůvky 1 - 16,1
11982,Nad přehradou 10,1
11920,Luční 26,1
12089,Poznaňská 10,1
20445,Nad Přehradou 21,1
15441,Koniklecova 5,1
22617,Lužánecká 2,1
12535,Markůvky 2 - 10,1
12028,Olbrachtovo nám. 2,1
12484,Jundrovská 24,1
12426,Foltýnova 23a,1
11587,Bělohorská 159,1
15578,Líšeňská areál bzzukot,1
11802,Kamenačky 18,1
11681,Elišky Machové x Bráfova,1
20063,Fleischnerova 11,1
16077,Foltýnova 13,1
11884,Kuršova 8,1
12138,Říčanská x Vlaštovčí,1
11719,Heyrovského 2,1
12248,U zoologické zahrady 22,1
12295,Větrná 18,1
12326,Vondrákova 50,1
12016,Oblá 3,1
12023,Oblá 75,1
12343,Vychodilova 15,1
12184,Svážná 16,1
14844,Kachlíkova 6,1
14842,Kachlíkova 10,1
12027,Olbrachtovo nám. 2,1
16285,Svážná 24,1
22722,Chodská 19,1
16239,"Svážná 2,4,6,8",1
12491,Kamenačky x Skorkovského,1
12423,Foerstrova 7,1
22924,Horákova x Jana Nečase,1
11922,Luční 66,1
20059,Jundrovská 24,1
15800,Potácelova x Skorkovského,1
12286,Vejrostova 1 - TŘÍĎOUN,0
16017,Ečerova 19,1
11885,Kvapilova 2,1
16445,Laštůvkova 8,1
